,symbol,companyName,sectorKey,industryKey
2950,CHRW,"C.H. Robinson Worldwide, Inc.",industrials,integrated-freight-logistics
2951,CHSN,Chanson International Holding,consumer-cyclical,restaurants
2952,CHTR,"Charter Communications, Inc.",communication-services,telecom-services
2953,CHW,Calamos Global Dynamic Income Fund,financial-services,asset-management
2954,CHX,ChampionX Corporation,energy,oil-gas-equipment-services
2955,CHY,Calamos Convertible and High Income Fund,financial-services,asset-management
2956,CIFR,Cipher Mining Inc.,financial-services,capital-markets
2957,CIGI,Colliers International Group Inc.,real-estate,real-estate-services
2958,CIGL,Concorde International Group Ltd.,industrials,security-protection-services
2959,CIIT,"Tianci International, Inc.",technology,electronics-computer-distribution
2960,CINF,Cincinnati Financial Corporation,financial-services,insurance-property-casualty
2961,CING,Cingulate Inc.,healthcare,biotechnology
2962,CISO,CISO Global Inc.,technology,software-infrastructure
2963,CISS,C3is Inc.,industrials,marine-shipping
2964,CIVB,"Civista Bancshares, Inc.",financial-services,banks-regional
2965,CJET,"Chijet Motor Company, Inc.",consumer-cyclical,auto-manufacturers
2966,CJMB,Callan JMB Inc.,industrials,integrated-freight-logistics
2967,CKPT,"Checkpoint Therapeutics, Inc.",healthcare,biotechnology
2968,CLAR,Clarus Corporation,consumer-cyclical,leisure
2969,CLBK,"Columbia Financial, Inc.",financial-services,banks-regional
2970,CLBT,Cellebrite DI Ltd.,technology,software-infrastructure
2971,CLDX,"Celldex Therapeutics, Inc.",healthcare,biotechnology
2972,CLEU,China Liberal Education Holdings Limited,consumer-defensive,education-training-services
2973,CLFD,"Clearfield, Inc.",technology,communication-equipment
2974,CLGN,CollPlant Biotechnologies Ltd.,healthcare,biotechnology
2975,CLIK,Click Holdings Limited,consumer-cyclical,personal-services
2976,CLIR,ClearSign Technologies Corporation,industrials,pollution-treatment-controls
2977,CLLS,Cellectis S.A.,healthcare,biotechnology
2978,CLMB,"Climb Global Solutions, Inc.",technology,electronics-computer-distribution
2979,CLMT,"Calumet, Inc.",basic-materials,specialty-chemicals
2980,CLNE,Clean Energy Fuels Corp.,energy,oil-gas-refining-marketing
2981,CLNN,Clene Inc.,consumer-defensive,packaged-foods
2982,CLOV,"Clover Health Investments, Corp.",healthcare,healthcare-plans
2983,CLPS,CLPS Incorporation,technology,information-technology-services
2984,CLPT,"ClearPoint Neuro, Inc.",healthcare,medical-devices
2985,CLRB,"Cellectar Biosciences, Inc.",healthcare,biotechnology
2986,CLRO,"ClearOne, Inc.",technology,communication-equipment
2987,CLSD,"Clearside Biomedical, Inc.",healthcare,biotechnology
2988,CLSK,"CleanSpark, Inc.",financial-services,capital-markets
2989,CLST,"Catalyst Bancorp, Inc.",financial-services,banks-regional
2990,CLWT,Euro Tech Holdings Company Limited,industrials,pollution-treatment-controls
2991,CLYM,Climb Bio Inc,healthcare,biotechnology
2992,CMBM,Cambium Networks Corporation,technology,communication-equipment
2993,CMCO,Columbus McKinnon Corporation,industrials,farm-heavy-construction-machinery
2994,CMCT,Creative Media & Community Trust Corporation,real-estate,reit-office
2995,CME,CME Group Inc.,financial-services,financial-data-stock-exchanges
2996,CMMB,Chemomab Therapeutics Ltd.,healthcare,biotechnology
2997,CMND,Clearmind Medicine Inc.,healthcare,biotechnology
2998,CMPO,"CompoSecure, Inc.",industrials,metal-fabrication
2999,CMPR,Cimpress plc,industrials,specialty-business-services
3000,CMPS,COMPASS Pathways plc,healthcare,medical-care-facilities
3001,CMPX,"Compass Therapeutics, Inc.",healthcare,biotechnology
3002,CMTL,Comtech Telecommunications Corp.,technology,communication-equipment
3003,CNCK,Coincheck Group N.V.,financial-services,capital-markets
3004,CNDT,Conduent Incorporated,technology,information-technology-services
